timesteps,episodes,total_reward,waypoints_completed,TimeLimit.truncated
354934,1322,5,5,False
355169,1323,5,5,False
355469,1324,4,4,True
355769,1325,4,4,True
355926,1326,5,5,False
356226,1327,4,4,True
356350,1328,5,5,False
356591,1329,5,5,False
356745,1330,5,5,False
357045,1331,3,3,True
357345,1332,3,3,True
357625,1333,5,5,False
357904,1334,5,5,False
358204,1335,4,4,True
358504,1336,2,2,True
358654,1337,5,5,False
358853,1338,5,5,False
359153,1339,3,3,True
359453,1340,4,4,True
359612,1341,5,5,False
359912,1342,4,4,True
360120,1343,5,5,False
360296,1344,5,5,False
360596,1345,4,4,True
360896,1346,4,4,True
361196,1347,2,2,True
361496,1348,2,2,True
361751,1349,5,5,False
361891,1350,5,5,False
362060,1351,5,5,False
362157,1352,5,5,False
362399,1353,5,5,False
362670,1354,5,5,False
362809,1355,5,5,False
363109,1356,2,2,True
363179,1357,5,5,False
363479,1358,5,5,False
363768,1359,5,5,False
364068,1360,4,4,True
364332,1361,5,5,False
364415,1362,5,5,False
364715,1363,1,1,True
365015,1364,4,4,True
365142,1365,5,5,False
365442,1366,4,4,True
365742,1367,3,3,True
366042,1368,4,4,True
366275,1369,5,5,False
366575,1370,4,4,True
366831,1371,5,5,False
367054,1372,5,5,False
367354,1373,4,4,True
367654,1374,4,4,True
367808,1375,5,5,False
367953,1376,5,5,False
368193,1377,5,5,False
368355,1378,5,5,False
368447,1379,5,5,False
368697,1380,5,5,False
368997,1381,4,4,True
