timesteps,episodes,total_reward,waypoints_completed,TimeLimit.truncated
255617,887,1,1,True
255917,888,4,4,True
256217,889,2,2,True
256517,890,1,1,True
256817,891,4,4,True
257117,892,3,3,True
257417,893,2,2,True
257717,894,2,2,True
258017,895,4,4,True
258317,896,2,2,True
258617,897,2,2,True
258917,898,2,2,True
259217,899,3,3,True
259517,900,3,3,True
259817,901,4,4,True
260117,902,4,4,True
260417,903,1,1,True
260717,904,1,1,True
261017,905,1,1,True
261317,906,4,4,True
261617,907,4,4,True
261917,908,3,3,True
262162,909,5,5,False
262419,910,5,5,False
262719,911,4,4,True
263019,912,0,0,True
263319,913,1,1,True
263619,914,4,4,True
263919,915,4,4,True
264219,916,3,3,True
264519,917,3,3,True
264819,918,3,3,True
265119,919,3,3,True
265419,920,4,4,True
265719,921,3,3,True
266019,922,1,1,True
266319,923,3,3,True
266534,924,5,5,False
266834,925,3,3,True
267134,926,1,1,True
267434,927,3,3,True
267699,928,5,5,False
267999,929,4,4,True
268299,930,1,1,True
268599,931,1,1,True
268899,932,0,0,True
269199,933,4,4,True
269499,934,2,2,True
269799,935,3,3,True
270099,936,4,4,True
270399,937,3,3,True
270699,938,0,0,True
270999,939,3,3,True
271299,940,3,3,True
271599,941,1,1,True
271780,942,5,5,False
272080,943,3,3,True
272380,944,3,3,True
272611,945,5,5,False
272911,946,4,4,True
273061,947,5,5,False
273361,948,0,0,True
273553,949,5,5,False
273853,950,3,3,True
274153,951,0,0,True
274453,952,1,1,True
274753,953,3,3,True
275053,954,3,3,True
275353,955,4,4,True
275437,956,5,5,False
275737,957,3,3,True
276037,958,2,2,True
276326,959,5,5,False
276626,960,4,4,True
276926,961,0,0,True
277218,962,5,5,False
277518,963,3,3,True
277818,964,4,4,True
278118,965,4,4,True
278418,966,2,2,True
278718,967,0,0,True
279018,968,0,0,True
279318,969,4,4,True
279452,970,5,5,False
279752,971,3,3,True
280052,972,2,2,True
280292,973,5,5,False
280592,974,4,4,True
280892,975,1,1,True
281104,976,5,5,False
281349,977,5,5,False
281532,978,5,5,False
281832,979,1,1,True
282132,980,0,0,True
282300,981,5,5,False
282600,982,4,4,True
282900,983,2,2,True
283028,984,5,5,False
283191,985,5,5,False
283491,986,0,0,True
283791,987,4,4,True
284091,988,0,0,True
284240,989,5,5,False
284467,990,5,5,False
284767,991,1,1,True
285067,992,3,3,True
285367,993,4,4,True
285667,994,3,3,True
285967,995,2,2,True
286267,996,1,1,True
286567,997,4,4,True
286769,998,5,5,False
287001,999,5,5,False
287301,1000,1,1,True
287599,1001,5,5,False
287899,1002,4,4,True
288199,1003,3,3,True
288499,1004,4,4,True
288760,1005,5,5,False
289060,1006,1,1,True
289360,1007,0,0,True
289660,1008,4,4,True
289960,1009,4,4,True
290260,1010,3,3,True
290560,1011,4,4,True
290860,1012,3,3,True
291112,1013,5,5,False
291412,1014,2,2,True
291712,1015,3,3,True
292012,1016,3,3,True
292312,1017,4,4,True
292612,1018,4,4,True
292912,1019,2,2,True
293212,1020,2,2,True
293462,1021,5,5,False
293762,1022,4,4,True
294062,1023,4,4,True
294362,1024,4,4,True
294662,1025,0,0,True
294873,1026,5,5,False
295173,1027,3,3,True
295473,1028,2,2,True
295574,1029,5,5,False
295874,1030,0,0,True
296174,1031,0,0,True
296474,1032,1,1,True
296689,1033,5,5,False
296972,1034,5,5,False
297114,1035,5,5,False
297414,1036,3,3,True
297714,1037,1,1,True
298014,1038,1,1,True
298270,1039,5,5,False
298570,1040,4,4,True
298870,1041,0,0,True
299165,1042,5,5,False
299422,1043,5,5,False
299722,1044,4,4,True
300022,1045,4,4,True
300246,1046,5,5,False
300546,1047,3,3,True
300846,1048,1,1,True
301146,1049,4,4,True
301446,1050,3,3,True
301746,1051,3,3,True
302046,1052,4,4,True
302338,1053,5,5,False
302638,1054,0,0,True
302938,1055,3,3,True
303102,1056,5,5,False
303369,1057,5,5,False
303669,1058,1,1,True
303955,1059,5,5,False
304207,1060,5,5,False
304507,1061,3,3,True
304807,1062,2,2,True
305107,1063,1,1,True
305407,1064,3,3,True
305513,1065,5,5,False
305813,1066,3,3,True
305881,1067,5,5,False
306113,1068,5,5,False
306413,1069,1,1,True
306576,1070,5,5,False
306876,1071,3,3,True
307176,1072,0,0,True
307476,1073,2,2,True
307621,1074,5,5,False
307723,1075,5,5,False
307931,1076,5,5,False
308231,1077,2,2,True
308334,1078,5,5,False
308485,1079,5,5,False
308785,1080,0,0,True
309085,1081,2,2,True
309285,1082,5,5,False
309407,1083,5,5,False
309707,1084,4,4,True
310007,1085,3,3,True
310307,1086,1,1,True
310496,1087,5,5,False
310574,1088,5,5,False
310686,1089,5,5,False
310986,1090,1,1,True
311286,1091,5,5,False
311411,1092,5,5,False
311711,1093,1,1,True
312011,1094,3,3,True
312311,1095,3,3,True
312611,1096,1,1,True
312852,1097,5,5,False
313152,1098,3,3,True
313452,1099,2,2,True
313752,1100,2,2,True
313948,1101,5,5,False
314226,1102,5,5,False
314526,1103,3,3,True
314826,1104,3,3,True
315126,1105,1,1,True
315426,1106,3,3,True
315726,1107,1,1,True
315992,1108,5,5,False
316200,1109,5,5,False
316500,1110,4,4,True
316670,1111,5,5,False
